serial,year,district,area,rent,pop_now,pop_prev,pop_2yr_ago,airbnb_now,airbnb_prev,airbnb_2yr_ago,airden_now,airden_prev,airden_2yr_ago,popden_now,popden_prev,popden_2yr_ago,adp_now,adp_prev,adp_2yr_ago
161,2022,Besiktas,18.01,25674,175190,178938,176513,"1,556",778,733,0.00888179,0.00434787,0.00415267,9727,9935,9801,0.888179,0.434787,0.415267
162,2022,Beykoz,310.36,12005,247875,248595,246110,123,75,52,0.00049622,0.0003017,0.00021129,799,801,793,0.049622,0.03017,0.021129
163,2022,Beylikduzu,37.78,11458,412835,398122,365564,227,86,74,0.00054986,0.00021601,0.00020243,10927,10538,9676,0.054986,0.021601,0.020243
164,2022,Beyoglu,8.91,16303,225920,233322,226396,"6,167","4,267","4,010",0.02729727,0.01828803,0.01771233,25356,26187,25409,2.729727,1.828803,1.771233
165,2022,Buyukcekmece,157.72,9303,277181,269160,257362,178,83,68,0.00064218,0.00030837,0.00026422,1757,1707,1632,0.064218,0.030837,0.026422
166,2022,Catalca,1040.38,5228,77468,76131,74975,39,18,15,0.00050343,0.00023643,0.00020007,74,73,72,0.050343,0.023643,0.020007
167,2022,Cekmekoy,148.16,7906,296066,288585,273658,60,20,22,0.00020266,0.0000693,0.00008039,1998,1948,1847,0.020266,0.00693,0.008039
168,2022,Esenler,18.43,8241,445421,447116,446276,15,6,5,0.00003368,0.00001342,0.0000112,24168,24260,24215,0.003368,0.001342,0.00112
169,2022,Esenyurt,43.13,6911,983571,977489,957398,"1,189",472,482,0.00120886,0.00048287,0.00050345,22805,22664,22198,0.120886,0.048287,0.050345
170,2022,Eyupsultan,228.42,12636,422913,417360,405845,211,105,112,0.00049892,0.00025158,0.00027597,1851,1827,1777,0.049892,0.025158,0.027597
171,2022,Fatih,15.59,8884,368227,382980,396584,"1,851","1,311","1,184",0.00502679,0.00342316,0.0029855,23619,24566,25438,0.502679,0.342316,0.29855
172,2022,Gaziosmanpasa,11.76,9965,495998,493096,487778,89,71,49,0.00017944,0.00014399,0.00010046,42177,41930,41478,0.017944,0.014399,0.010046
173,2022,Gungoren,7.21,8122,282692,283083,280299,51,20,22,0.00018041,0.00007065,0.00007849,39208,39263,38876,0.018041,0.007065,0.007849
174,2022,Kadikoy,25.09,18970,483064,485233,481983,"2,180","1,003",826,0.00451286,0.00206705,0.00171375,19253,19340,19210,0.451286,0.206705,0.171375
175,2022,Kagithane,14.87,12682,455943,454550,442415,639,224,262,0.00140149,0.0004928,0.0005922,30662,30568,29752,0.140149,0.04928,0.05922
176,2022,Kartal,38.54,10116,483418,480738,474514,242,97,81,0.0005006,0.00020177,0.0001707,12543,12474,12312,0.05006,0.020177,0.01707
