#,Year,District,Area (sqkm),Rent,Population (t),Population (t-1),Population (t-2),Airbnb (t),Airbnb (t-1),Airbnb (t-2),AirDen (t),AirDen (t-1),AirDen (t-2),PopDen (t),PopDen (t-1),PopDen (t-2)
155,2021,Uskudar,35.33,"4,837","525,395","520,771","531,825",269,199,219,0.000512,0.000382,0.000412,"14,871","14,740","15,053"
156,2021,Zeytinburnu,11.59,"5,260","293,839","283,657","293,574",54,64,53,0.000184,0.000226,0.000181,"25,353","24,474","25,330"
157,2022,Adalar,11.05,N/A,"16,690","16,372","16,033",223,162,116,0.013361,0.009895,0.007235,"1,510","1,482","1,451"
158,2022,Arnavutkoy,506.55,"5,458","326,452","312,023","296,709",97,40,33,0.000297,0.000128,0.000111,644,616,586
159,2022,Atasehir,25.2,"11,865","423,127","427,217","422,594",478,197,194,0.001130,0.000461,0.000459,"16,791","16,953","16,770"
160,2022,Avcilar,42.01,"8,265","452,132","457,981","436,897",248,126,123,0.000549,0.000275,0.000282,"10,762","10,902","10,400"
161,2022,Bagcilar,22.36,"8,295","740,069","744,351","737,206",638,258,156,0.000862,0.000347,0.000212,"33,098","33,289","32,970"
162,2022,Bahcelievler,16.62,"7,977","594,350","605,300","592,371",358,119,68,0.000602,0.000197,0.000115,"35,761","36,420","35,642"
163,2022,Bakirkoy,29.64,"17,733","226,684","228,759","226,229",267,129,113,0.001178,0.000564,0.000499,"7,648","7,718","7,633"
164,2022,Basaksehir,104.3,"11,602","514,900","503,243","469,924",383,201,216,0.000744,0.000399,0.000460,"4,937","4,825","4,506"
165,2022,Bayrampasa,9.61,"8,068","275,314","274,884","269,950",52,15,7,0.000189,0.000055,0.000026,"28,649","28,604","28,091"
166,2022,Besiktas,18.01,"25,674","175,190","178,938","176,513","1,556",778,733,0.008882,0.004348,0.004153,"9,727","9,935","9,801"
167,2022,Beykoz,310.36,"12,005","247,875","248,595","246,110",123,75,52,0.000496,0.000302,0.000211,799,801,793
168,2022,Beylikduzu,37.78,"11,458","412,835","398,122","365,564",227,86,74,0.000550,0.000216,0.000202,"10,927","10,538","9,676"
169,2022,Beyoglu,8.91,"16,303","225,920","233,322","226,396","6,167",4267,4010,0.027297,0.018288,0.017712,"25,356","26,187","25,409"
170,2022,Buyukcekmece,157.72,"9,303","277,181","269,160","257,362",178,83,68,0.000642,0.000308,0.000264,"1,757","1,707","1,632"
171,2022,Catalca,1040.38,"5,228","77,468","76,131","74,975",39,18,15,0.000503,0.000236,0.000200,74,73,72
172,2022,Cekmekoy,148.16,"7,906","296,066","288,585","273,658",60,20,22,0.000203,0.000069,0.000080,"1,998","1,948","1,847"
173,2022,Esenler,18.43,"8,241","445,421","447,116","446,276",15,6,5,0.000034,0.000013,0.000011,"24,168","24,260","24,215"
174,2022,Esenyurt,43.13,"6,911","983,571","977,489","957,398","1,189",472,482,0.001209,0.000483,0.000503,"22,805","22,664","22,198"
175,2022,Eyupsultan,228.42,"12,636","422,913","417,360","405,845",211,105,112,0.000499,0.000252,0.000276,"1,851","1,827","1,777"
176,2022,Fatih,15.59,"8,884","368,227","382,980","396,584","1,851",1311,1184,0.005027,0.003423,0.002985,"23,619","24,566","25,438"
177,2022,Gaziosmanpasa,11.76,"9,965","495,998","493,096","487,778",89,71,49,0.000179,0.000144,0.000100,"42,177","41,930","41,478"
178,2022,Gungoren,7.21,"8,122","282,692","283,083","280,299",51,20,22,0.000180,0.000071,0.000078,"39,208","39,263","38,876"
179,2022,Kadikoy,25.09,"18,970","483,064","485,233","481,983","2,180",1003,826,0.004513,0.002067,0.001714,"19,253","19,340","19,210"
180,2022,Kagithane,14.87,"12,682","455,943","454,550","442,415",639,224,262,0.001401,0.000493,0.000592,"30,662","30,568","29,752"
181,2022,Kartal,38.54,"10,116","483,418","480,738","474,514",242,97,81,0.000501,0.000202,0.000171,"12,543","12,474","12,312"
182,2022,Kucukcekmece,37.54,"8,541","808,955","805,929","789,632",230,76,83,0.000284,0.000094,0.000105,"21,549","21,469","21,034"
183,2022,Maltepe,52.97,"10,774","528,544","525,566","515,021",358,145,130,0.000677,0.000276,0.000252,"9,978","9,922","9,723"
184,2022,Pendik,179.99,"7,587","750,435","741,895","726,481",225,98,83,0.000300,0.000132,0.000114,"4,169","4,122","4,036"
185,2022,Sancaktepe,62.42,"6,797","489,848","474,668","456,861",41,22,20,0.000084,0.000046,0.000044,"7,848","7,604","7,319"
186,2022,Sariyer,151.3,"29,515","350,454","349,968","335,298",268,162,160,0.000765,0.000463,0.000477,"2,316","2,313","2,216"
187,2022,Sile,781.72,"8,546","43,464","41,627","37,904",241,122,111,0.005545,0.002931,0.002928,56,53,48
188,2022,Silivri,869.52,"5,247","217,163","209,014","200,215",78,27,29,0.000359,0.000129,0.000145,250,240,230
189,2022,Sisli,34.8,"14,791","276,528","284,294","266,793",3956,1888,1921,0.014306,0.006641,0.007200,"7,946","8,169","7,666"
190,2022,Sultanbeyli,29.1,"5,884","358,201","349,485","343,318",19,8,11,0.000053,0.000023,0.000032,"12,309","12,010","11,798"
191,2022,Sultangazi,36.3,"6,537","542,531","543,380","537,488",33,12,9,0.000061,0.000022,0.000017,"14,946","14,969","14,807"
192,2022,Tuzla,123.63,"7,867","288,875","284,440","273,608",88,43,52,0.000305,0.000151,0.000190,"2,337","2,301","2,213"
193,2022,Umraniye,45.31,"8,954","732,379","726,758","713,803",282,120,101,0.000385,0.000165,0.000141,"16,164","16,040","15,754"
194,2022,Uskudar,35.33,"11,967","524,452","525,395","520,771",598,269,199,0.001140,0.000512,0.000382,"14,844","14,871","14,740"
195,2022,Zeytinburnu,11.59,"10,845","292,616","293,839","283,657",177,54,64,0.000605,0.000184,0.000226,"25,247","25,353","24,474"
,,,,,,,,,,,,,,0,0,0
